Book, Verse , Lemma                                                                                                                                                                                                                                                                   , Witness                  , Source                     , Ed. Comment                                                                                                        , Gen. Comment , Second R.                       , Witness                 , Source             , Comment                                                                                  , Third R.                               , Witness         , Source   , Comment                                                                                 , Fourth R.               , Witness        , Source                    , Comment                                                  , Fifth R.         , Witness  , Source , Comment , Sixth R.         , Witness , Source  , Comment                                                                                              , Seventh R. , Witness , Source , Comment                                                                   
10,1, omnipotEntis olympi                                                                                                                                                                                                                                                     , **?**                    ,,,, et reliqua                      , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,1, factus                                                                                                                                                                                                                                                                  , **F ?**                  ,,,, factum                          , *Q *                    ,,,,,,,,,,,,,,,,,,,,,,
10,1, conponet                                                                                                                                                                                                                                                                , **?**                    ,,,, conponit                        , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,1, ut iamque                                                                                                                                                                                                                                                               , **?**                    ,,,, iamque                          , (=**DS**) **F**         ,,,,,,,,,,,,,,,,,,,,,,
10,1, ut*(2)*                                                                                                                                                                                                                                                                 , **?**                    ,,,, et relique unde                 , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,1, possumus                                                                                                                                                                                                                                                                , **F**                    ,,,, possimus                        , **?**                   ,,,,,,,,,,,,,,,,,,,,,,
10,1, scilicet                                                                                                                                                                                                                                                                , **F ?**                  ,,,, scilicet et                     , *Q *                    ,,,,,,,,,,,,,,,,,,,,,,
10,1, quia*(2)*                                                                                                                                                                                                                                                               , **?**                    ,,,, qui                             , **F** *N *              ,,,,,,,,,,,,,,,,,,,,,,
10,1, geruntur                                                                                                                                                                                                                                                                , **?**                    ,," *Serv. ad A. 1.479, 10.833*                                                                                        ",, aguntur                         , ?                       , *CGL 4.527.16*     ,, egerunt                                , **F**           ,,,,,,,,,,,,,,,,,,
10,1, interea particula                                                                                                                                                                                                                                                       , **?**                    ,,,, haec particula                  , (=**DS**) **F**         ,,,,,,,,,,,,,,,,,,,,,,
