Verse,Line,Lemma,Witness,Source,Ed. Comment,Gen. Comment,Second R.,Witness,Source,Comment,Third R.,Witness,Source,Comment,Fourth R.,Witness,Source,Comment,Fifth R.,Witness,Source,Comment,,,,,,,,,,,,,
1,,ATQVE … OMNIVM,F Γ ,,,,om.,W ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,DIVERSA(1),F Ah2 Pah2 N,,,,d.,Pc ,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,
1,,PENITVS … GERVNTVRr(1),Pa γ N,,,,Penitus dum p. g.,θ Pc Q [Γ ],,,et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,
1,,transit,F Pa Pc γ ,,,,traxit,θ Q σ [Γ ],,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,ad Ardeam,Fh3 θ Pa Pc γ W ,,,,ardeam,F Q N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,post atque dist.,,Murgia,,,ante atque,,edd. plerique,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,DIVERSA PENITVS(2) ,,Verg.,,,penitus,F N ,,,d. p.,θ Pc ,,,p.,Q γ W ,,,,,,,,,,,,,,,,,,,
1,,DVM PARTE GERVNTVR(2),F N ,,,,d. parte geruntur,θ Pc Q W [Γ ],,,d. p. g.,Pa γ ,,,,,,,,,,,,,,,,,,,,,,,
1,,adverbii vim,,Dan.,,,adverbis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,illud,Γ ,,,,illa,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,diomedem,F Pc Pb Y ,,,,diomeden,Γ ,,(sed cf. Serv. ad A. 11.243),diomede,N ,,,,,,,,,,,,,,,,,,,,,,,
1,,ulixem,Pc ,,,,ulixen,Γ ,,,tulixem,F ,,,,,,,,,,,,,,,,,,,,,,,
1,,post,Γ ,,,,potest,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Iris,Γ,,,,om.,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,ἔρις,F Γ ,,,,eris,F Γ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,nam ... Homerum,F Pa Pc W ,,,,nam praeter deorum,Γ ,,,om.,γ ,,,,,,,,,,,,,,,,,,,,,,,
2,,aeriam,Γ ,Verg.,(et hic et ad A. 5.606),,erigam,F ,,,eriam,F,,ad A. 5.606,aeriem,Q ,,,,,,,,,,,,,,,,,,,
2,,demisit,F γ,Verg.,,,dimisit,Γ ,,,dimittit,F Γ,,ad A. 5.606,,,,,,,,,,,,,,,,,,,,,
2,,germanae,Γ ,,,,germani,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,ferentem,Γ ,,,,ferenti,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,AD,F,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,de,Γ ,,,,et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,audaciae,T ,,,,aut latio,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,audendum,T ,,,,audiendum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,exhortandus,Fh3,,,,ex///tandus,F,,,exhortatur,T ,,,,,,,,,,,,,,,,,,,,,,,
3,,Pitumnus(1),Γ ,,,,pitummum,F,ad A. 10.76,,om.,F,,,picumnus,,Non.,Recte si verum nomen vis,,,,,,,,,,,,,,,,,
3,,Sterculinius,Γ ,,,,sterquilinius,γ N ,,,sterquilinus,W ,,,,,,,,,,,,,,,,,,,,,,,
3,,pinsendi,Pa Pc γ ,,,,pinsandi,W ,,,pensendae,Γ ,,,pensande,N,,,pensendi,Ah2 ,,,,,,,,,,,,,,,
3,,colitur,Γ,,,,d. colitur,Q ,,,deus colitur,,edd.,,,,,,,,,,,,,,,,,,,,,,
3,,quidam ... suspicatur,,ex T ed. Dan.,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,VALLE,F θ Pa Pc γ W ,,,,uelle,Q N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,supra(1),F ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,lucus(1),F Γ ,,,,locus,Q Pb Y N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Mostellaria,,Dan.,,,monte laria,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,captabantur,F Pa Pc W ,,,,captantur,Pb Y ,,,captare namque,Γ ,,,captantur namque,E vel Eh2 ,,,,,,,,,,,,,,,,,,,
